unknown_0:  מה זה config task?
Yosef:  זה סתם file server, database זה משהו שבנוי לזה שאפשר לעשות עליו SQL וכו'.
Yosef:  דברים שעליהם אפשר לעשות פעולות מתקדמות של זה.
Yosef:  פשוט אני... זה.
unknown_38:  לא, אבל מה שאני אומר זה כזה דבר.
Unknown:  שני דברים. שני דברים, דבר ראשון, אני...
Unknown:  דבר ראשון, אני לא בטוח שהשימוש פה של מודל הוא נכון.
Unknown:  זאת אומרת, יש לך איזשהו בום בטרלו,
Yosef:  אני לא בטוח שנכון לשמור את זה, אני אעשה חשוב רגע.
Unknown:  אני מנסה לחשוב רגע, כי תאורטית מודל יכול להיות שהוא מתגדל על משהו.
Abraham:  אז מכניס את זה בתור המשתנה.
John:  כאילו אני רוצה שמודל יוסיף גם עוד עמודות אולי, כן, אולי הוא יבין כבר איזה עמודות יצטרך ויוסיף...
Unknown:  אין בעיה, גם את זה אתה לא צריך לעשות במודל.
Yosef:  זה דבר ראשון. דבר שני, מה?
John:  זה דאטאבייס שאתה אמור להשתמש בו אחר כך בשביל ליצור כך וכך וכך וכך דברים. וזה המשימות. איזה דברים מעניינים אותך? תיצור עמודות שתוכל אחר כך לשלוף מהם מידע.
John:  ועוד פעם שוב, זה עדיין ניתן ליצור בקוד מסודר שאתה מגדיר לו מה תרצה לשמור, אוקיי?
John:  נכון, אבל אתה רוצה שתהיה גם איש. זה נכון, ברור שכל אחד, אתה רוצה שזה יהיה כאילו אוטומטי, שכל אחד נגיע...
John:  זה ברור שכל אחד, אתה רוצה שזה יהיה כאילו אוטומטי, שכל אחד מגיע, לא זה ברור, זה יהיה יותר טוב אפילו אם יהיה מישהו שיגדיר בהתחלה.
Unknown:  אתה אומר, יכול להיות לך בורדים שונים, ואז אתה רוצה דברים שונים, ואתה לא תמיד יכול להגדיר את זה מראש.
Yosef:  אוקיי, טוב, בוא נתחיל עם זה, נראה מה, אם נראה בהמשך שזה ייצר לנו טעויות, אז אולי נתין.
Yosef:  אבל הדבר השני שכן אני מנסה, אני לא בטוח שנחוש, מה שאתה אומר שה-Embedding צריך להיות,
Unknown:  אוקיי, כאילו השאלה היא כזאת, הדת הפריים שלך, מה הכי?
unknown_41:  מה הכי?
unknown_42:  אתה יודע מה הכוונה?
unknown_43:  כי בדת הפריים?
unknown_44:  לא.
John:  בדאטה פריים, כי בדאטה פריים הכוונה היא העמודה שהיא היחידנית, המפתח, שהיא היחידנית.
Unknown:  אתה אומר בעצם אתה מראש בונה דאטה פריים של האנשים.
Unknown:  כן, אתה אומר האנשים והמשימות שלהם.
John:  וגם דאטה פריים של משימות, אמרנו שיהיה בנפרד.
unknown_46:  אוקיי.
John:  אז דאטה פריים של המשימות היא תקשימש בכיל ה...
John:  צריך להשתמש בה.
unknown_48:  שזה יהיה כי...
Unknown:  אוקיי, אבל צריך... זה צריך להיות שני דאטה פריימים שונים.
Unknown:  דאטה פריימ אחד של האנשים, דאטה פריימ שני של ה...
Yosef:  הבעיה היא תחשוב...
Unknown:  אתה אומר, אתה מקבל בורד, אתה בעצם מקבל את כל האנשים ש...
Unknown:  אז זו השאלה, איך אתה מקבל את האנשים שבבורד?
Unknown:  איך זה נראה כאילו? ככה זה נראה?
Unknown:  לא. איך הוא... אוקיי, דבר ראשון, בואו תראה לי איך זה נראה בורד.
Unknown:  אוקיי, דבר ראשון, בוא תראה לי איך זה נראה, בוא נראה איזה מותקסים אתה יכול להראות.
unknown_52:  אה, לא, אני לא יכול להראות פה עכשיו.
unknown_53:  אני צריך לעצור את הקודש הזה.
Unknown:  זה פשוט ליסט שמכיל את כל ה...
Unknown:  אה, אפילו מביא שם ID לכל אחד אפילו.
Unknown:  יש גם ID לכל user.
Unknown:  זה את השם שלה וה-ID.
Yosef:  אז זה לא ראשון ID, אין סיבה שה-ID...
unknown_55:  ID יותר טוב, כן, נכון.
Unknown:  כן, כן, שכחתי, כן.
Yosef:  אבל השאלה, זאת אומרת, מאיפה הוא לוקח את זה?
unknown_56:  מאיפה הוא לוקח את זה?
unknown_57:  מהרשימה של המשימות?
Unknown:  המשימה של המשימות, זאת אומרת, אם יש לך בן אדם שאין לו משימה, אז הוא לא ישים אותו?
John:  הוא פשוט עובר לכל מי שמקושר לבורד. כל מי שהוא חלק מזה.
Unknown:  אה, אוקיי. אז הוא יודע לראות את כל מי שמקושר לבורד, ואז הוא זה. אוקיי, אוקיי.
Unknown:  יש פונקציה אחת שהיא עושה משימות שהולכת לפה,
Unknown:  הוא עובר את כארד כארד ומוביל לך מי היוזר שלו, ושפוך.
Unknown:  ועכשיו יש את כל ה... אפשר כאילו לבוא מהיוזר למשימות, וגם כל היוזר סתם.
unknown_58:  זה כאילו שלושה שאלות שיש לנו.
unknown_59:  אוקיי.
unknown_60:  בסדר, זה סבבה, בסדר.
